"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2004","European Union - 28 countries","Current prices, million units of national currency","Gross domestic product at market prices","11,109,713.5",""
"2004","European Union - 28 countries","Current prices, million units of national currency","Intermediate consumption",":",""
"2004","Euro area (19 countries)","Current prices, million units of national currency","Gross domestic product at market prices","8,164,272.9",""
"2004","Euro area (19 countries)","Current prices, million units of national currency","Intermediate consumption",":",""
"2004","Belgium","Current prices, million units of national currency","Gross domestic product at market prices","298,710.8",""
"2004","Belgium","Current prices, million units of national currency","Intermediate consumption","330,733.0",""
"2004","Bulgaria","Current prices, million units of national currency","Gross domestic product at market prices","40,886.4",""
"2004","Bulgaria","Current prices, million units of national currency","Intermediate consumption","52,148.0",""
"2004","Czechia","Current prices, million units of national currency","Gross domestic product at market prices","3,062,444.0",""
"2004","Czechia","Current prices, million units of national currency","Intermediate consumption","4,262,122.0",""
"2004","Denmark","Current prices, million units of national currency","Gross domestic product at market prices","1,506,001.0",""
"2004","Denmark","Current prices, million units of national currency","Intermediate consumption","1,204,000.0",""
"2004","Germany (until 1990 former territory of the FRG)","Current prices, million units of national currency","Gross domestic product at market prices","2,270,620.0",""
"2004","Germany (until 1990 former territory of the FRG)","Current prices, million units of national currency","Intermediate consumption","1,982,485.0",""
"2004","Estonia","Current prices, million units of national currency","Gross domestic product at market prices","9,707.7",""
"2004","Estonia","Current prices, million units of national currency","Intermediate consumption","11,377.9",""
"2004","Ireland","Current prices, million units of national currency","Gross domestic product at market prices","156,143.8",""
"2004","Ireland","Current prices, million units of national currency","Intermediate consumption","178,228.0",""
"2004","Greece","Current prices, million units of national currency","Gross domestic product at market prices","193,715.8",""
"2004","Greece","Current prices, million units of national currency","Intermediate consumption","137,026.4",""
"2004","Spain","Current prices, million units of national currency","Gross domestic product at market prices","861,420.0",""
"2004","Spain","Current prices, million units of national currency","Intermediate consumption","905,101.0",""
"2004","France","Current prices, million units of national currency","Gross domestic product at market prices","1,704,019.0",""
"2004","France","Current prices, million units of national currency","Intermediate consumption","1,441,633.0",""
"2004","Croatia","Current prices, million units of national currency","Gross domestic product at market prices","250,564.8",""
"2004","Croatia","Current prices, million units of national currency","Intermediate consumption","227,411.9",""
"2004","Italy","Current prices, million units of national currency","Gross domestic product at market prices","1,448,362.7",""
"2004","Italy","Current prices, million units of national currency","Intermediate consumption","1,482,002.0",""
"2004","Cyprus","Current prices, million units of national currency","Gross domestic product at market prices","13,856.4",""
"2004","Cyprus","Current prices, million units of national currency","Intermediate consumption","12,324.1",""
"2004","Latvia","Current prices, million units of national currency","Gross domestic product at market prices","11,048.7",""
"2004","Latvia","Current prices, million units of national currency","Intermediate consumption","12,088.4",""
"2004","Lithuania","Current prices, million units of national currency","Gross domestic product at market prices","18,237.7",""
"2004","Lithuania","Current prices, million units of national currency","Intermediate consumption","14,576.4",""
"2004","Luxembourg","Current prices, million units of national currency","Gross domestic product at market prices","27,935.5",""
"2004","Luxembourg","Current prices, million units of national currency","Intermediate consumption","43,499.4",""
"2004","Hungary","Current prices, million units of national currency","Gross domestic product at market prices","21,099,068.0",""
"2004","Hungary","Current prices, million units of national currency","Intermediate consumption","23,289,305.0",""
"2004","Malta","Current prices, million units of national currency","Gross domestic product at market prices","4,852.4",""
"2004","Malta","Current prices, million units of national currency","Intermediate consumption","6,178.4",""
"2004","Netherlands","Current prices, million units of national currency","Gross domestic product at market prices","529,286.0",""
"2004","Netherlands","Current prices, million units of national currency","Intermediate consumption","492,822.0",""
"2004","Austria","Current prices, million units of national currency","Gross domestic product at market prices","242,348.3",""
"2004","Austria","Current prices, million units of national currency","Intermediate consumption","209,916.9",""
"2004","Poland","Current prices, million units of national currency","Gross domestic product at market prices","933,062.0",""
"2004","Poland","Current prices, million units of national currency","Intermediate consumption","1,045,272.0",""
"2004","Portugal","Current prices, million units of national currency","Gross domestic product at market prices","152,371.6",""
"2004","Portugal","Current prices, million units of national currency","Intermediate consumption","149,251.2",""
"2004","Romania","Current prices, million units of national currency","Gross domestic product at market prices","244,688.3",""
"2004","Romania","Current prices, million units of national currency","Intermediate consumption","260,087.3",""
"2004","Slovenia","Current prices, million units of national currency","Gross domestic product at market prices","27,672.7",""
"2004","Slovenia","Current prices, million units of national currency","Intermediate consumption","28,031.8",""
"2004","Slovakia","Current prices, million units of national currency","Gross domestic product at market prices","46,101.5",""
"2004","Slovakia","Current prices, million units of national currency","Intermediate consumption","60,447.9",""
"2004","Finland","Current prices, million units of national currency","Gross domestic product at market prices","158,477.0",""
"2004","Finland","Current prices, million units of national currency","Intermediate consumption","152,754.0",""
"2004","Sweden","Current prices, million units of national currency","Gross domestic product at market prices","2,808,403.0",""
"2004","Sweden","Current prices, million units of national currency","Intermediate consumption","2,495,333.0",""
"2004","United Kingdom","Current prices, million units of national currency","Gross domestic product at market prices","1,312,854.0",""
"2004","United Kingdom","Current prices, million units of national currency","Intermediate consumption","1,045,237.0",""
"2004","Iceland","Current prices, million units of national currency","Gross domestic product at market prices","971,084.6",""
"2004","Iceland","Current prices, million units of national currency","Intermediate consumption","896,381.1",""
"2004","Liechtenstein","Current prices, million units of national currency","Gross domestic product at market prices",":",""
