"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2000","European Union - 27 countries (from 2019)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","87.5",""
"2000","European Union - 27 countries (from 2019)","Current prices, million euro","Gross domestic product at market prices","7,873,622.1",""
"2000","European Union - 27 countries (from 2019)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,615,291.3",""
"2000","European Union - 28 countries","Chain linked volumes, index 2010=100","Gross domestic product at market prices","87.0",""
"2000","European Union - 28 countries","Current prices, million euro","Gross domestic product at market prices","9,660,950.6",""
"2000","European Union - 28 countries","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,176,687.4",""
"2000","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","88.2",""
"2000","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","9,191,172.9",""
"2000","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,433,231.5",""
"2000","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.3",""
"2000","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","6,800,603.9",""
"2000","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,157,723.7",""
"2000","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","88.9",""
"2000","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","7,030,321.2",""
"2000","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,488,934.4",""
"2000","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.2",""
"2000","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","6,943,579.9",""
"2000","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,350,103.8",""
"2000","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","85.2",""
"2000","Belgium","Current prices, million euro","Gross domestic product at market prices","258,222.0",""
"2000","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","310,925.2",""
"2000","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","63.9",""
"2000","Bulgaria","Current prices, million euro","Gross domestic product at market prices","14,305.8",""
"2000","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","24,410.8",""
"2000","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","73.2",""
"2000","Czechia","Current prices, million euro","Gross domestic product at market prices","66,838.8",""
"2000","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","114,694.1",""
"2000","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","92.6",""
"2000","Denmark","Current prices, million euro","Gross domestic product at market prices","178,018.2",""
"2000","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","225,211.4",""
"2000","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","91.4",""
"2000","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,116,480.0",""
"2000","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,358,690.9",""
"2000","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","72.4",""
"2000","Estonia","Current prices, million euro","Gross domestic product at market prices","6,170.8",""
"2000","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,662.0",""
"2000","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","75.5",""
"2000","Ireland","Current prices, million euro","Gross domestic product at market prices","108,380.4",""
"2000","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","126,671.4",""
"2000","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","84.0",""
"2000","Greece","Current prices, million euro","Gross domestic product at market prices","142,976.0",""
"2000","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","189,900.4",""
"2000","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","80.3",""
"2000","Spain","Current prices, million euro","Gross domestic product at market prices","646,250.0",""
"2000","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","867,917.0",""
"2000","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","88.3",""
"2000","France","Current prices, million euro","Gross domestic product at market prices","1,478,585.0",""
"2000","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,761,915.5",""
"2000","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","78.1",""
"2000","Croatia","Current prices, million euro","Gross domestic product at market prices","23,582.0",""
"2000","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","35,281.5",""
"2000","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.9",""
"2000","Italy","Current prices, million euro","Gross domestic product at market prices","1,239,266.3",""
"2000","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,555,551.0",""
"2000","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","72.5",""
"2000","Cyprus","Current prices, million euro","Gross domestic product at market prices","10,804.6",""
"2000","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,984.2",""
"2000","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","69.1",""
"2000","Latvia","Current prices, million euro","Gross domestic product at market prices","8,609.5",""
"2000","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,293.4",""
"2000","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","65.4",""
"2000","Lithuania","Current prices, million euro","Gross domestic product at market prices","12,491.3",""
"2000","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","18,320.7",""
"2000","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","76.6",""
"2000","Luxembourg","Current prices, million euro","Gross domestic product at market prices","23,079.4",""
"2000","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","30,789.1",""
"2000","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","81.9",""
"2000","Hungary","Current prices, million euro","Gross domestic product at market prices","51,338.5",""
"2000","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","80,892.2",""
"2000","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","81.7",""
"2000","Malta","Current prices, million euro","Gross domestic product at market prices","4,394.9",""
"2000","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","5,391.6",""
"2000","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","87.4",""
"2000","Netherlands","Current prices, million euro","Gross domestic product at market prices","452,007.0",""
"2000","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","558,359.2",""
"2000","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","85.9",""
"2000","Austria","Current prices, million euro","Gross domestic product at market prices","213,606.5",""
"2000","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","254,069.2",""
"2000","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","68.1",""
"2000","Poland","Current prices, million euro","Gross domestic product at market prices","186,376.4",""
"2000","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","246,227.5",""
"2000","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","92.9",""
"2000","Portugal","Current prices, million euro","Gross domestic product at market prices","128,466.3",""
"2000","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","167,145.3",""
"2000","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","66.1",""
"2000","Romania","Current prices, million euro","Gross domestic product at market prices","40,594.9",""
"2000","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","82,911.5",""
"2000","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","76.9",""
"2000","Slovenia","Current prices, million euro","Gross domestic product at market prices","21,923.5",""
"2000","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","27,888.1",""
"2000","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","62.0",""
"2000","Slovakia","Current prices, million euro","Gross domestic product at market prices","22,346.8",""
"2000","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","41,894.5",""
"2000","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","84.5",""
"2000","Finland","Current prices, million euro","Gross domestic product at market prices","136,261.0",""
"2000","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","158,091.0",""
"2000","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","81.2",""
"2000","Sweden","Current prices, million euro","Gross domestic product at market prices","282,246.2",""
"2000","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","300,049.1",""
"2000","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","85.2",""
"2000","United Kingdom","Current prices, million euro","Gross domestic product at market prices","1,787,328.5",""
"2000","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,576,665.1",""
"2000","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","77.0",""
"2000","Iceland","Current prices, million euro","Gross domestic product at market prices","9,752.4",""
"2000","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","7,955.2",""
"2000","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2000","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":",""
"2000","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2000","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","85.5",""
"2000","Norway","Current prices, million euro","Gross domestic product at market prices","185,862.8",""
"2000","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","277,093.5",""
"2000","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","83.4",""
"2000","Switzerland","Current prices, million euro","Gross domestic product at market prices","294,914.5",""
"2000","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","368,072.6",""
"2000","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2000","Montenegro","Current prices, million euro","Gross domestic product at market prices",":",""
"2000","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2000","North Macedonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","74.6",""
"2000","North Macedonia","Current prices, million euro","Gross domestic product at market prices","4,094.6",""
"2000","North Macedonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","5,302.8",""
"2000","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","58.1",""
"2000","Albania","Current prices, million euro","Gross domestic product at market prices","3,780.4",""
"2000","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","5,229.7",""
"2000","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","61.2",""
"2000","Serbia","Current prices, million euro","Gross domestic product at market prices",":",""
