"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2000","European Union - 27 countries (from 2019)","Total","Thousand persons","Total","18,478",""
"2000","European Union - 27 countries (from 2019)","Total","Percentage of total population","Total",":",""
"2000","European Union - 27 countries (from 2019)","Total","Percentage of active population","Total","9.4",""
"2000","European Union - 28 countries","Total","Thousand persons","Total","20,032",""
"2000","European Union - 28 countries","Total","Percentage of total population","Total",":",""
"2000","European Union - 28 countries","Total","Percentage of active population","Total","8.9",""
"2000","European Union - 27 countries (2007-2013)","Total","Thousand persons","Total","19,747",""
"2000","European Union - 27 countries (2007-2013)","Total","Percentage of total population","Total",":",""
"2000","European Union - 27 countries (2007-2013)","Total","Percentage of active population","Total","8.8",""
"2000","European Union - 25 countries (2004-2006)","Total","Thousand persons","Total","18,311",""
"2000","European Union - 25 countries (2004-2006)","Total","Percentage of total population","Total",":",""
"2000","European Union - 25 countries (2004-2006)","Total","Percentage of active population","Total","8.8",""
"2000","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","12,890",""
"2000","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"2000","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","8.9",""
"2000","Euro area (19 countries)","Total","Thousand persons","Total","12,890",""
"2000","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"2000","Euro area (19 countries)","Total","Percentage of active population","Total","8.9",""
"2000","Euro area (18 countries)","Total","Thousand persons","Total","12,617",""
"2000","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"2000","Euro area (18 countries)","Total","Percentage of active population","Total","8.8",""
"2000","Belgium","Total","Thousand persons","Total","302",""
"2000","Belgium","Total","Percentage of total population","Total","3.9",""
"2000","Belgium","Total","Percentage of active population","Total","6.9",""
"2000","Bulgaria","Total","Thousand persons","Total","561",""
"2000","Bulgaria","Total","Percentage of total population","Total","8.9",""
"2000","Bulgaria","Total","Percentage of active population","Total","16.4",""
"2000","Czechia","Total","Thousand persons","Total","454",""
"2000","Czechia","Total","Percentage of total population","Total","5.6",""
"2000","Czechia","Total","Percentage of active population","Total","8.8",""
"2000","Denmark","Total","Thousand persons","Total","122",""
"2000","Denmark","Total","Percentage of total population","Total","3.3",""
"2000","Denmark","Total","Percentage of active population","Total","4.3",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,114",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.9",""
"2000","Estonia","Total","Thousand persons","Total","100",""
"2000","Estonia","Total","Percentage of total population","Total","9.3",""
