Series Name;Series Code;Country Name;Country Code;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
GDP per capita (current US$);NY.GDP.PCAP.CD;Austria;AUT;32222,89724;36821,52147;38403,13388;40635,28182;46855,77175;51708,76575;47963,1794;46858,04327;51374,95841;48567,69529;50716,70871;51717,49594;44178,04738;45276,83144;47426,51196;51478,28526;50137,66278
GDP per capita (current US$);NY.GDP.PCAP.CD;Belgium;BEL;30587,66841;35364,37533;36795,97688;38672,70594;44262,896;48106,89292;44583,54481;44141,87814;47348,52502;44673,11588;46744,66254;47700,54036;40991,80814;41984,10303;44192,62303;47583,07494;46420,66377
GDP per capita (current US$);NY.GDP.PCAP.CD;Bulgaria;BGR;2719,497656;3389,707049;3899,907638;4523,050833;5885,104348;7265,735497;6988,233325;6812,406338;7809,425062;7395,849803;7655,129708;7876,866465;7055,935673;7548,855007;8334,081728;9427,73043;9828,148515
GDP per capita (current US$);NY.GDP.PCAP.CD;Croatia;HRV;8059,420173;9661,169574;10527,89268;11695,94466;13937,44839;16296,80592;14540,6416;13949,3265;14609,52435;13258,35985;13674,4178;13599,40978;11781,73479;12361,48383;13451,62495;15014,08502;14936,10055
GDP per capita (current US$);NY.GDP.PCAP.CD;Cyprus;CYP;20252,23898;23792,62136;24959,25917;26729,3234;31244,92622;35397,36368;32109,24251;31023,63833;32396,38574;28912,15694;27729,1927;27129,62612;23333,71491;24532,51906;26338,69434;28689,70672;27858,371
GDP per capita (current US$);NY.GDP.PCAP.CD;Czechia;CZE;9818,568493;11749,85266;13430,6699;15261,79759;18466,54793;22804,57768;19861,69743;19960,06849;21871,26608;19870,80121;20133,16914;19890,91991;17829,69832;18575,23203;20636,19995;23415,84363;23494,5962
GDP per capita (current US$);NY.GDP.PCAP.CD;Denmark;DNK;40458,7774;46511,59833;48799,8256;52026,99951;58487,05497;64322,0635;58163,27688;58041,39844;61753,64713;58507,50805;61191,1937;62548,98473;53254,85637;54663,99837;57610,09818;61598,5367;60170,34264
GDP per capita (current US$);NY.GDP.PCAP.CD;Estonia;EST;7206,166562;8912,992195;10406,39669;12631,56805;16741,93923;18227,11953;14794,9711;14790,82092;17621,54796;17534,42135;19174,10033;20367,10316;17522,23019;18437,25282;20458,46073;23170,70738;23723,30611
GDP per capita (current US$);NY.GDP.PCAP.CD;Finland;FIN;32855,13263;37702,84538;39040,28888;41188,0937;48414,84509;53554,03892;47293,99283;46459,97325;51081,99767;47710,79022;49878,04324;50260,29986;42784,69836;43784,28396;46336,66325;50030,87731;48782,78848
GDP per capita (current US$);NY.GDP.PCAP.CD;France;FRA;29568,38595;33741,26515;34760,18777;36443,62344;41508,43399;45334,11444;41575,41875;40638,334;43790,73205;40874,70351;42592,93409;43011,2631;36638,18493;37037,37419;38812,16103;41631,09074;40493,92857
GDP per capita (current US$);NY.GDP.PCAP.CD;Germany;DEU;30243,57653;34044,05363;34507,36881;36323,44774;41587,2129;45427,15168;41485,90165;41531,9342;46644,77603;43858,36306;46285,76407;47959,99327;41086,72967;42107,51727;44552,81937;47810,50767;46445,2491
GDP per capita (current US$);NY.GDP.PCAP.CD;Greece;GRC;18477,57836;21955,10414;22551,73577;24801,15778;28827,32639;31997,28202;29710,97023;26917,75895;25916,29349;22242,68195;21874,81947;21760,97975;18167,77373;18116,45965;18930,21863;20324,30499;19582,53598
GDP per capita (current US$);NY.GDP.PCAP.CD;Hungary;HUN;8421,103313;10285,79363;11200,57695;11475,82271;13918,96019;15753,47328;13046,48101;13191,62126;14216,16561;12950,68652;13687,51406;14267,01215;12706,89121;13090,50673;14605,85435;16410,18726;16731,82151
GDP per capita (current US$);NY.GDP.PCAP.CD;Iceland;ISL;39423,92802;47367,27817;56658,59265;56673,60247;69054,27081;56409,77311;41333,41854;43024,92349;47516,87469;45910,02054;49522,23658;54241,93464;52564,42918;61466,80395;71310,93926;72968,70423;66944,83308
GDP per capita (current US$);NY.GDP.PCAP.CD;Ireland;IRL;41106,92515;47631,01069;50878,22367;54306,42932;61359,74123;61262,10046;52105,15248;48715,17691;51848,9097;48917,89761;51590,18859;55492,98256;61995,4228;63197,0824;69822,34708;78621,22793;78660,95646
GDP per capita (current US$);NY.GDP.PCAP.CD;Italy;ITA;27465,6753;31259,7165;32043,14037;33501,65817;37822,66524;40778,34274;37079,75867;36000,52012;38599,06221;35053,52624;35549,9747;35518,41529;30230,2263;30939,71425;32406,72032;34615,75689;33228,23668
GDP per capita (current US$);NY.GDP.PCAP.CD;Latvia;LVA;5135,352925;6363,723387;7575,183393;9699,721662;14091,04765;16422,11198;12288,21383;11383,52241;13895,16257;13926,34731;15120,78189;15713,53697;13774,60527;14315,79289;15682,22145;17858,27998;17828,89466
GDP per capita (current US$);NY.GDP.PCAP.CD;Lithuania;LTU;5499,428989;6700,327192;7854,765279;9230,707981;12285,44705;14944,99665;11820,77616;11990,66302;14392,53426;14373,06052;15726,62683;16564,95655;14258,22933;14998,12506;16885,40739;19176,17652;19601,89083
GDP per capita (current US$);NY.GDP.PCAP.CD;Luxembourg;LUX;65445,88503;75716,35108;80289,69641;89739,7117;106018,4928;114293,8433;103198,6693;104965,3061;115761,5077;106749,0136;113625,1329;118823,6484;101376,4966;104278,391;107627,151;116654,2611;114704,5942
GDP per capita (current US$);NY.GDP.PCAP.CD;Malta;MLT;13669,49722;15197,05661;15888,17246;16723,88427;19485,87115;22205,35677;21083,27705;21799,17439;23155,55477;22527,63686;24771,07668;26754,26859;24921,60357;25617,82691;28091,86165;30437,22151;29820,60325
GDP per capita (current US$);NY.GDP.PCAP.CD;Netherlands;NLD;35672,2066;40362,39478;41979,05585;44863,35063;51733,44213;57644,47997;52514,02712;50950,03434;54159,34661;50073,00566;52184,06185;52830,17423;45175,23189;46007,85292;48675,22234;53044,53244;52331,31673
GDP per capita (current US$);NY.GDP.PCAP.CD;Norway;NOR;50134,89077;57603,83602;66810,47852;74148,32008;85139,96045;96944,09561;79977,69708;87693,79007;100600,5624;101524,1419;102913,4508;97019,18275;74355,51586;70459,1825;75496,75406;81734,46557;75419,63487
GDP per capita (current US$);NY.GDP.PCAP.CD;Poland;POL;5701,602212;6681,386472;8021,505743;9035,410467;11254,51739;13996,02515;11526,05589;12613,011;13879,56099;13097,27085;13696,4663;14271,30585;12578,49547;12447,43959;13864,68176;15468,48222;15692,50703
GDP per capita (current US$);NY.GDP.PCAP.CD;Portugal;PRT;15762,97579;18031,00042;18773,12536;19822,84603;22782,09462;24847,54514;23059,79745;22498,69086;23186,91313;20564,88986;21647,04181;22074,30076;19242,36647;19978,40121;21490,42986;23562,55452;23252,05852
GDP per capita (current US$);NY.GDP.PCAP.CD;Romania;ROU;2679,41191;3494,944517;4617,929016;5757,496429;8360,166321;10435,04398;8548,118672;8214,076893;9099,217539;8507,104775;9547,852151;10043,67745;8969,148921;9548,587403;10807,79539;12399,88934;12919,52964
GDP per capita (current US$);NY.GDP.PCAP.CD;Serbia;SRB;3005,426352;3502,802924;3720,479155;4382,617279;5848,476405;7101,040141;6169,114195;5735,422857;6809,159804;6015,945228;6755,073675;6600,056809;5588,980728;5765,200762;6292,543629;7252,401858;7411,836116
GDP per capita (current US$);NY.GDP.PCAP.CD;Slovakia;SVK;8712,698793;10671,82186;11685,75482;13159,75944;16085,61152;18677,29271;16531,67051;16750,79744;18361,56948;17481,89544;18260,01577;18674,34406;16310,98841;16508,67036;17556,60082;19406,34753;19266,2755
GDP per capita (current US$);NY.GDP.PCAP.CD;Slovenia;SVN;14849,03724;17233,13856;18098,90854;19672,96556;23787,64656;27483,33717;24694,23049;23509,54314;25095,13229;22643,10025;23496,6025;24214,92207;20881,76693;21663,64341;23512,81727;26115,91337;25946,18219
GDP per capita (current US$);NY.GDP.PCAP.CD;Spain;ESP;21463,44266;24861,2828;26419,29686;28365,31349;32549,97098;35366,2596;32042,47408;30502,71971;31636,44631;28324,42934;29059,54795;29461,55033;25732,01836;26505,34322;28170,16786;30389,36099;29600,37825
GDP per capita (current US$);NY.GDP.PCAP.CD;Sweden;SWE;37321,7979;42821,67314;43437,06312;46593,60216;53700,00534;56152,55234;46946,96027;52869,04429;60755,75955;58037,82132;61126,9432;60020,36046;51545,48361;51965,15715;53791,50873;54589,06039;51615,02065
GDP per capita (current US$);NY.GDP.PCAP.CD;Switzerland;CHE;48087,58313;53340,14768;54952,67376;57579,50195;63555,23746;72487,84594;69927,46876;74605,72108;88415,62803;83538,23003;85112,4644;86605,56338;82081,59716;80172,23209;80449,99451;82818,10816;81993,72713
GDP per capita (current US$);NY.GDP.PCAP.CD;United Kingdom;GBR;34419,14791;40290,31397;42030,28661;44599,69757;50566,8266;47286,99849;38713,13743;39435,8399;42038,57225;42462,77157;43444,533;47425,60768;44974,83188;41064,13343;40361,41738;43043,22782;42330,11754
