Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Serbia,12.60000038,12.80000019,13.80000019,15.19999981,18.5,20.85000038,20.85000038,18.05999947,13.70499992,16.1420002,19.21800041,22.9659996,24,22.15399933,19.22299957,17.65999985,15.25699997,13.47700024,12.7329998,12.68599987
Switzerland,2.665999889,2.49000001,2.924000025,4.116000175,4.315999985,4.436999798,4,3.65199995,3.349999905,4.116000175,4.80700016,4.407999992,4.485000134,4.747000217,4.826000214,4.801000118,4.918000221,4.796999931,4.712999821,4.580999851
Austria,4.686999798,4.006999969,4.848999977,4.778999805,5.834000111,5.627999783,5.243000031,4.857999802,4.127999783,5.301000118,4.820000172,4.56400013,4.864999771,5.335000038,5.619999886,5.72300005,6.013999939,5.499000072,4.84800005,4.673999786
Belgium,6.585999966,6.177000046,6.90899992,7.679999828,7.362999916,8.43999958,8.24600029,7.458000183,6.975999832,7.907999992,8.291999817,7.139999866,7.541999817,8.425000191,8.522999763,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225
Croatia,16.06399918,15.82199955,15.05300045,13.92399979,13.66399956,12.59799957,11.13000011,9.909000397,8.529999733,9.201999664,11.61999989,13.67800045,15.93500042,17.25099945,17.29000092,16.17499924,13.10299969,11.20800018,8.43200016,6.934999943
Cyprus,4.967000008,3.983999968,3.298000097,4.135000229,4.333000183,5.303999901,4.543000221,3.921999931,3.654999971,5.363999844,6.263000011,7.855999947,11.79500008,15.87100029,16.08799934,14.90799999,12.94999981,11.05200005,8.369999886,7.274000168
Czechia,8.762000084,7.991000175,7.019000053,7.544000149,8.210000038,7.927000046,7.147999763,5.320000172,4.392000198,6.662000179,7.278999805,6.710999966,6.978000164,6.953000069,6.107999802,5.046000004,3.950999975,2.890000105,2.243000031,1.932999969
Denmark,4.475999832,4.164000034,4.274000168,5.397999763,5.203999996,4.829999924,3.897000074,3.801000118,3.434000015,6.006999969,7.464000225,7.572999954,7.526000023,6.997000217,6.589000225,6.168000221,6.181000233,5.743000031,4.974999905,4.913000107
Estonia,13.35999966,13.13399982,10.02600002,11.28800011,10.24800014,8.032999992,5.914999962,4.592000008,5.454999924,13.54800034,16.70700073,12.32800007,10.02099991,8.630999565,7.352000237,6.186999798,6.762000084,5.760000229,5.366000175,5.114999771
Finland,11.13399982,10.28999996,10.42300034,10.46899986,10.3579998,8.383999825,7.718999863,6.854000092,6.368999958,8.248999596,8.394000053,7.781000137,7.68900013,8.19299984,8.663000107,9.376000404,8.81799984,8.640000343,7.361000061,6.59499979
France,10.21700001,8.609999657,8.701999664,8.305999756,8.913999557,8.493000031,8.447999954,7.657000065,7.063000202,8.736000061,8.87100029,8.81099987,9.399999619,9.920999527,10.29199982,10.35900021,10.05700016,9.397000313,9.059000015,8.427000046
Germany,7.916999817,7.772999763,8.482000351,9.779000282,10.72700024,11.16699982,10.25,8.657999992,7.524000168,7.742000103,6.96600008,5.823999882,5.379000187,5.230999947,4.980999947,4.624000072,4.122000217,3.746000051,3.384000063,3.042999983
